i:3 dp[i]:153 
i:170 dp[i]:1141288128756374625 
i:171 dp[i]:7482053294121333881 
i:172 dp[i]:5843616274205948441 
i:173 dp[i]:8305107076665785777 
i:174 dp[i]:-2766643426053388783 
i:175 dp[i]:864199031262516009 
i:176 dp[i]:-6926988580227695031 
i:177 dp[i]:5408082184078906081 
i:178 dp[i]:-404466413629738815 
i:179 dp[i]:7876756298326256345 
i:180 dp[i]:-4705929703782073479 
i:181 dp[i]:-8224829515474020079 
i:182 dp[i]:4790309432938941553 
i:183 dp[i]:-4325778467764130935 
i:184 dp[i]:4219595206060138921 
i:185 dp[i]:6409718296395317313 
i:186 dp[i]:6430562353970006305 
i:187 dp[i]:-7807787466750606023 
i:188 dp[i]:7099961619831021785 
i:189 dp[i]:7895808296521300081 
i:190 dp[i]:-6439469777875822895 
i:191 dp[i]:-3932186007440119831 
i:192 dp[i]:-8652417686221821687 
i:193 dp[i]:8210192695536775585 
i:194 dp[i]:-7446377953183537791 
i:195 dp[i]:1743526678575580057 
i:196 dp[i]:-3483325789609153991 
i:197 dp[i]:1320725725621722065 
i:198 dp[i]:7475460427982431537 
i:199 dp[i]:3099309392114518089 
i:200 dp[i]:4896289085727429737 
i:201 dp[i]:-7319328195898333439 
i:202 dp[i]:-2871753337131252255 
i:203 dp[i]:-5417824127122774535 
i:204 dp[i]:-266292960013412455 
i:205 dp[i]:5350041931896111921 
i:206 dp[i]:-8545502365758572655 
i:207 dp[i]:-1040695314833847127 
i:208 dp[i]:9176508525450503113 
i:209 dp[i]:-3211222442436026271 
i:210 dp[i]:2683289242140207681 
i:211 dp[i]:-4152325721176150951 
i:212 dp[i]:319031893325883641 
i:213 dp[i]:-8949835330588873071 
i:214 dp[i]:-2597184749761032719 
i:215 dp[i]:2789587518487524617 
i:216 dp[i]:5934239173187032873 
i:217 dp[i]:5630100608183393729 
i:218 dp[i]:-7079294584919240031 
i:219 dp[i]:6488086787571586745 
i:220 dp[i]:-7926583589024670119 
i:221 dp[i]:5286726137614802417 
i:222 dp[i]:-4828133727097493423 
i:223 dp[i]:-7245497438744673943 
i:224 dp[i]:-3988717677204541815 
i:225 dp[i]:2985743868695568161 
i:226 dp[i]:-8517004260915085567 
i:227 dp[i]:-2241727675496897255 
i:228 dp[i]:-859221932506204231 
